State, Square Miles (Land Area) 
Alabama,50750
Alaska,570641
Arizona,113642
Arkansas,52075
California,155973
Colorado,103730
Connecticut,4845
Delaware,1955
Florida,53997
Georgia,57919
Hawaii,6423
Idaho,82751
Illinois,55593
Indiana,35870
Iowa,55875
Kansas,81823
Kentucky,39732
Louisiana,43566
Maine,30865
Maryland,9775
Massachusetts,7838
Michigan,56539
Minnesota,79617
Mississippi,46914
Missouri,68898
Montana,145556
Nebraska,76878
Nevada,109806
New Hampshire,8969
New Jersey,7419
New Mexico,121365
New York,47224
North Carolina,48718
North Dakota,68994
Ohio,40953
Oklahoma,68679
Oregon,96003
Pennsylvania,44820
Rhode Island,1034
South Carolina,30111
South Dakota,75898
Tennessee,41220
Texas,261914
Utah,82168
Vermont,9249
Virginia,39598
Washington,66582
West Virginia,24087
Wisconsin,54314
Wyoming,97105
